"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"1";"";"4R-NEXB38V";"EXB38V";"RN1";"Array Chip Resistor";"";"";"unknown";"unknown";
"1";"";"JST_2PIN-SMT-RA";"JST-PH-2-SMT-RA";"BATT";"JST 2-Pin Connectors of various flavors";"";"";"";"";
"3";"";"MA03-1";"MA03-1";"SV1, SV3, SV4";"PIN HEADER";"";"";"unknown";"unknown";
"1";"";"MA07-1";"MA07-1";"SV2";"PIN HEADER";"";"";"unknown";"unknown";
"1";"";"TRIM_US-3223W";"3223W";"R1";"POTENTIOMETER";"";"";"";"";
"2";"0.01uF";"C-EUC0805";"C0805@1";"CAN, CBN";"CAPACITOR, European symbol";"";"";"";"";
"1";"0805";"LEDCHIPLED_0805";"CHIPLED_0805";"CHG";"LED";"";"";"";"";
"1";"22K";"R-US_R0805";"R0805";"RC";"RESISTOR, American symbol";"";"";"";"";
"1";"AYZ0202";"AYZ0202";"AYZ0202";"J1";"SPDT Slide Switch";"";"";"";"";
"2";"LM555D";"LM555D";"SO08";"ICA, ICB";"TIMER";"";"";"";"";
"5";"M02PTH";"M02PTH";"1X02";"CA, CB, PWR2, RA, RB";"Standard 2-pin 0.1" header. Use with";"";"";"";"";
"1";"MCP1700-33";"MCP1700SOT89";"SOT89";"IC4";"VOLTAGE REGULATOR";"";"";"";"";
"1";"MCP73831";"MCP73831";"SOT23-5";"IC3";"Microchip's MCP73831";"";"";"";"";
"1";"MJ-2135";"MJ-2135";"MJ-2135";"J-FEMALE";"";"";"";"";"";
"1";"USBSMD";"USBSMD";"USB-MINIB";"X1";"USB Connectors";"";"";"";"";
